#: table_doi: 10.17182/hepdata.68951.v1/t4
#: name: Table 4
#: description: HERA combined reduced cross sections $\sigma_{r,\rm NC}^{+}$ for NC $e^{+}p$ scattering at $\sqrt{s} = 225$ GeV;
# $\delta_{\rm stat}$, $\delta_{\rm uncor}$ and $\delta_{\rm cor}$ represent the statistical, uncorrelated systematic and correlated systematic uncertainties, respectively;
# $\delta_{\rm rel}$, $\delta_{\gamma p}$, $\delta_{\rm had}$ and $\delta_{1}$ to $\delta_{4}$ are the correlated sources of uncertainties arising from the combination procedure.
# The uncertainties are quoted in percent relative to $\sigma_{r,\rm NC}^{+}$.

#: data_file: Table4.yaml
#: keyword reactions: E+ P --> E+ X
#: keyword observables: SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 225.0
#: RE,E+ P --> E+ X
#: SQRT(S) [GeV],225.0
# Q**2 [GEV**2],XB,"$\sigma_{r,\rm NC}^{+}$",stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -","sys,rel +","sys,rel -","sys,$\gamma p$ +","sys,$\gamma p$ -","sys,had +","sys,had -","sys,1 +","sys,1 -","sys,2 +","sys,2 -","sys,3 +","sys,3 -","sys,4 +","sys,4 -"
60.0,0.00242,1.184,1.38,-1.38,1.28,-1.28,1.21,-1.21,0.57,-0.57,-0.13,0.13,-0.16,0.16,-0.03,0.03,0.01,-0.01,0.06,-0.06,0.23,-0.23
60.0,0.00305,1.097,1.98,-1.98,1.28,-1.28,1.2,-1.2,0.29,-0.29,-0.08,0.08,-0.05,0.05,-0.01,0.01,0.21,-0.21,0.06,-0.06,0.07,-0.07
60.0,0.00382,1.021,1.16,-1.16,1.0,-1.0,1.2,-1.2,0.48,-0.48,-0.09,0.09,-0.01,0.01,0.0,-0.0,0.35,-0.35,0.07,-0.07,0.22,-0.22
60.0,0.00592,0.894,1.05,-1.05,1.23,-1.23,1.2,-1.2,0.53,-0.53,-0.09,0.09,-0.01,0.01,0.0,-0.0,0.17,-0.17,0.06,-0.06,0.27,-0.27
60.0,0.00986,0.758,1.04,-1.04,1.02,-1.02,1.23,-1.23,0.61,-0.61,-0.11,0.11,-0.01,0.01,-0.01,0.01,-0.68,0.68,0.07,-0.07,0.37,-0.37
90.0,0.00209,1.262,5.29,-5.29,2.88,-2.88,2.09,-2.09,0.58,-0.58,-0.11,0.11,-0.02,0.02,-0.01,0.01,-1.01,1.01,0.16,-0.16,0.27,-0.27
90.0,0.00237,1.206,3.13,-3.13,1.75,-1.75,1.41,-1.41,0.48,-0.48,-0.11,0.11,-0.06,0.06,-0.02,0.02,-0.08,0.08,0.1,-0.1,0.17,-0.17
90.0,0.0025,1.078,4.52,-4.52,3.22,-3.22,1.28,-1.28,0.09,-0.09,-0.08,0.08,-0.1,0.1,-0.01,0.01,0.58,-0.58,0.06,-0.06,-0.16,0.16
90.0,0.00273,1.149,2.72,-2.72,1.53,-1.53,1.28,-1.28,0.43,-0.43,-0.1,0.1,-0.03,0.03,-0.01,0.01,0.38,-0.38,0.09,-0.09,0.07,-0.07
90.0,0.00317,1.094,3.02,-3.02,2.07,-2.07,1.22,-1.22,0.02,-0.02,-0.06,0.06,-0.05,0.05,0.0,-0.0,0.26,-0.26,0.06,-0.06,-0.17,0.17
90.0,0.00362,1.106,2.1,-2.1,1.26,-1.26,1.19,-1.19,0.3,-0.3,-0.08,0.08,-0.12,0.12,-0.01,0.01,0.01,-0.01,0.07,-0.07,0.05,-0.05
90.0,0.0046,1.021,2.31,-2.31,1.26,-1.26,1.2,-1.2,0.08,-0.08,-0.06,0.06,-0.05,0.05,0.0,-0.0,-0.04,0.04,0.07,-0.07,-0.07,0.07
90.0,0.00573,0.957,1.37,-1.37,1.05,-1.05,1.18,-1.18,0.34,-0.34,-0.08,0.08,-0.02,0.02,0.0,-0.0,0.17,-0.17,0.07,-0.07,0.15,-0.15
90.0,0.008,0.906,1.64,-1.64,1.48,-1.48,1.19,-1.19,0.21,-0.21,-0.07,0.07,-0.05,0.05,0.0,-0.0,-0.41,0.41,0.07,-0.07,0.07,-0.07
90.0,0.00888,0.836,1.71,-1.71,2.03,-2.03,1.29,-1.29,0.87,-0.87,-0.13,0.13,0.06,-0.06,-0.01,0.01,0.27,-0.27,0.06,-0.06,0.41,-0.41
