#: table_doi: 10.17182/hepdata.68951.v1/t3
#: name: Table 3
#: description: HERA combined reduced cross sections $\sigma_{r,\rm NC}^{+}$ for NC $e^{+}p$ scattering at $\sqrt{s} = 251$ GeV;
$\delta_{\rm stat}$, $\delta_{\rm uncor}$ and $\delta_{\rm cor}$ represent the statistical, uncorrelated systematic and correlated systematic uncertainties, respectively;
$\delta_{\rm rel}$, $\delta_{\gamma p}$, $\delta_{\rm had}$ and $\delta_{1}$ to $\delta_{4}$ are the correlated sources of uncertainties arising from the combination procedure.
The uncertainties are quoted in percent relative to $\sigma_{r,\rm NC}^{+}$.

#: data_file: Table3.yaml
#: keyword reactions: E+ P --> E+ X
#: keyword observables: SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 251.0
#: RE,E+ P --> E+ X
#: SQRT(S) [GeV],251.0
Q**2 [GEV**2],XB,"$\sigma_{r,\rm NC}^{+}$",stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -","sys,rel +","sys,rel -","sys,$\gamma p$ +","sys,$\gamma p$ -","sys,had +","sys,had -","sys,1 +","sys,1 -","sys,2 +","sys,2 -","sys,3 +","sys,3 -","sys,4 +","sys,4 -"
25.0,0.00127,1.12,2.0,-2.0,1.7,-1.7,1.32,-1.32,1.09,-1.09,-0.14,0.14,-0.08,0.08,-0.01,0.01,-0.03,0.03,0.06,-0.06,0.56,-0.56
25.0,0.00159,1.128,1.55,-1.55,1.87,-1.87,1.28,-1.28,0.75,-0.75,-0.11,0.11,0.05,-0.05,-0.01,0.01,0.5,-0.5,0.05,-0.05,0.37,-0.37
25.0,0.00184,1.042,2.05,-2.05,2.2,-2.2,1.33,-1.33,1.17,-1.17,-0.14,0.14,-0.08,0.08,-0.01,0.01,0.04,-0.04,0.06,-0.06,0.58,-0.58
25.0,0.00247,1.02,1.58,-1.58,1.88,-1.88,1.48,-1.48,1.25,-1.25,-0.16,0.16,0.08,-0.08,-0.01,0.01,-0.1,0.1,0.06,-0.06,0.46,-0.46
25.0,0.003,0.92,2.16,-2.16,2.25,-2.25,1.36,-1.36,1.07,-1.07,-0.15,0.15,-0.09,0.09,-0.01,0.01,-0.62,0.62,0.06,-0.06,0.7,-0.7
25.0,0.00411,0.892,2.64,-2.64,2.11,-2.11,1.38,-1.38,0.91,-0.91,-0.1,0.1,0.05,-0.05,0.0,-0.0,0.49,-0.49,0.06,-0.06,0.36,-0.36
35.0,0.000651,1.322,7.0,-7.0,3.79,-3.79,3.8,-3.8,0.01,-0.01,-0.05,0.05,-0.14,0.14,-0.02,0.02,-2.86,2.86,0.18,-0.18,-0.11,0.11
35.0,0.000727,1.302,3.89,-3.89,3.42,-3.42,1.64,-1.64,-0.1,0.1,-0.09,0.09,-0.39,0.39,-0.04,0.04,-0.25,0.25,0.07,-0.07,0.35,-0.35
35.0,0.000812,1.327,2.57,-2.57,2.07,-2.07,1.21,-1.21,0.77,-0.77,-0.16,0.16,-0.29,0.29,-0.03,0.03,-0.29,0.29,0.07,-0.07,0.31,-0.31
35.0,0.000921,1.329,2.29,-2.29,1.99,-1.99,1.19,-1.19,0.72,-0.72,-0.14,0.14,-0.27,0.27,-0.02,0.02,0.25,-0.25,0.06,-0.06,0.29,-0.29
35.0,0.001,1.217,2.64,-2.64,2.2,-2.2,1.23,-1.23,0.6,-0.6,-0.12,0.12,-0.14,0.14,-0.02,0.02,-0.12,0.12,0.07,-0.07,0.35,-0.35
