#: table_doi: 10.17182/hepdata.68951.v1/t5
#: name: Table 5
#: description: HERA combined reduced cross sections $\sigma_{r,\rm NC}^{-}$ for NC $e^{-}p$ scattering at $\sqrt{s} = 318$ GeV;
# $\delta_{\rm stat}$, $\delta_{\rm uncor}$ and $\delta_{\rm cor}$ represent the statistical, uncorrelated systematic and correlated systematic uncertainties, respectively;
# $\delta_{\rm rel}$, $\delta_{\gamma p}$, $\delta_{\rm had}$ and $\delta_{1}$ to $\delta_{4}$ are the correlated sources of uncertainties arising from the combination procedure.
# The uncertainties are quoted in percent relative to $\sigma_{r,\rm NC}^{-}$.

#: data_file: Table5.yaml
#: keyword reactions: E- P --> E- X
#: keyword observables: SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 318.0
#: RE,E- P --> E- X
#: SQRT(S) [GeV],318.0
# Q**2 [GEV**2],XB,"$\sigma_{r,\rm NC}^{-}$",stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -","sys,rel +","sys,rel -","sys,$\gamma p$ +","sys,$\gamma p$ -","sys,had +","sys,had -","sys,1 +","sys,1 -","sys,2 +","sys,2 -","sys,3 +","sys,3 -","sys,4 +","sys,4 -"
400.0,0.02,0.712,1.01,-1.01,0.72,-0.72,1.03,-1.03,0.05,-0.05,-0.03,0.03,-0.04,0.04,0.0,-0.0,-0.04,0.04,-0.12,0.12,-0.12,0.12
400.0,0.032,0.608,0.99,-0.99,0.63,-0.63,1.01,-1.01,0.16,-0.16,-0.04,0.04,-0.05,0.05,0.0,-0.0,-0.04,0.04,-0.15,0.15,-0.08,0.08
400.0,0.05,0.519,0.99,-0.99,0.57,-0.57,1.03,-1.03,0.05,-0.05,-0.04,0.04,-0.08,0.08,0.0,-0.0,-0.05,0.05,0.03,-0.03,-0.06,0.06
400.0,0.08,0.431,1.08,-1.08,0.54,-0.54,1.02,-1.02,-0.01,0.01,-0.03,0.03,-0.08,0.08,0.0,-0.0,-0.05,0.05,0.05,-0.05,-0.06,0.06
400.0,0.13,0.367,1.14,-1.14,0.61,-0.61,1.09,-1.09,0.17,-0.17,-0.04,0.04,-0.08,0.08,0.0,-0.0,-0.05,0.05,-0.07,0.07,-0.07,0.07
400.0,0.18,0.321,1.94,-1.94,2.44,-2.44,1.32,-1.32,0.59,-0.59,-0.03,0.03,0.02,-0.02,0.01,-0.01,-0.05,0.05,-0.46,0.46,-0.08,0.08
400.0,0.25,0.264,1.81,-1.81,0.82,-0.82,1.43,-1.43,0.19,-0.19,-0.05,0.05,-0.07,0.07,0.0,-0.0,-0.05,0.05,0.19,-0.19,-0.04,0.04
400.0,0.4,0.157,2.51,-2.51,3.0,-3.0,1.78,-1.78,1.05,-1.05,-0.03,0.03,0.03,-0.03,0.01,-0.01,-0.04,0.04,-0.17,0.17,-0.13,0.13
500.0,0.0066,1.059,2.05,-2.05,1.79,-1.79,1.03,-1.03,-0.08,0.08,-0.01,0.01,-0.01,0.01,0.0,-0.0,-0.05,0.05,0.03,-0.03,-0.07,0.07
500.0,0.008,1.007,2.06,-2.06,0.93,-0.93,1.02,-1.02,0.14,-0.14,-0.18,0.18,-0.01,0.01,0.0,-0.0,-0.05,0.05,-0.03,0.03,-0.11,0.11
500.0,0.013,0.899,1.46,-1.46,0.88,-0.88,1.02,-1.02,0.13,-0.13,-0.07,0.07,0.01,-0.01,0.0,-0.0,-0.04,0.04,-0.03,0.03,-0.1,0.1
500.0,0.02,0.731,1.46,-1.46,1.07,-1.07,1.04,-1.04,0.02,-0.02,-0.02,0.02,0.03,-0.03,0.0,-0.0,-0.05,0.05,0.01,-0.01,-0.1,0.1
500.0,0.032,0.63,1.49,-1.49,0.99,-0.99,1.03,-1.03,0.14,-0.14,-0.03,0.03,-0.07,0.07,0.0,-0.0,-0.05,0.05,-0.08,0.08,-0.05,0.05
500.0,0.05,0.551,1.57,-1.57,1.06,-1.06,1.03,-1.03,0.15,-0.15,-0.03,0.03,-0.08,0.08,0.0,-0.0,-0.05,0.05,-0.27,0.27,-0.05,0.05
500.0,0.08,0.432,1.78,-1.78,1.06,-1.06,1.06,-1.06,0.15,-0.15,-0.04,0.04,-0.12,0.12,0.0,-0.0,-0.05,0.05,-0.21,0.21,-0.04,0.04
500.0,0.13,0.377,2.06,-2.06,1.27,-1.27,1.05,-1.05,0.08,-0.08,-0.03,0.03,-0.14,0.14,0.0,-0.0,-0.05,0.05,-0.3,0.3,-0.04,0.04
500.0,0.18,0.338,2.21,-2.21,1.76,-1.76,1.09,-1.09,0.44,-0.44,-0.04,0.04,-0.1,0.1,0.0,-0.0,-0.05,0.05,-0.48,0.48,-0.05,0.05
500.0,0.25,0.267,2.61,-2.61,2.41,-2.41,1.39,-1.39,0.74,-0.74,-0.03,0.03,-0.02,0.02,0.01,-0.01,-0.04,0.04,-0.41,0.41,-0.09,0.09
500.0,0.4,0.149,14.88,-14.88,11.98,-11.98,2.7,-2.7,3.17,-3.17,-0.14,0.14,-0.47,0.47,0.01,-0.01,-0.07,0.07,-0.64,0.64,0.13,-0.13
500.0,0.65,0.027,19.18,-19.18,10.5,-10.5,1.74,-1.74,-0.73,0.73,0.02,-0.02,-1.52,1.52,0.0,-0.0,-0.03,0.03,-0.92,0.92,-0.13,0.13
650.0,0.0085,0.987,2.19,-2.19,1.54,-1.54,1.02,-1.02,-0.02,0.02,-0.03,0.03,-0.05,0.05,0.0,-0.0,-0.04,0.04,-0.04,0.04,-0.07,0.07
650.0,0.013,0.905,1.05,-1.05,0.4,-0.4,1.04,-1.04,0.14,-0.14,-0.12,0.12,-0.01,0.01,0.0,-0.0,-0.04,0.04,-0.1,0.1,-0.1,0.1
