# redx2009_full data excluding for 0.85 < q2 < 50.
q2	x	y	cme	redx	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	tot+	tot-	err
8.5	0.0005	0.168	319.0	1.022	0.81	-0.81	0.93	-0.93	0.67	-0.67	0.22	-0.22	-0.19	0.19	0.15	-0.15	0.5	-0.5	1.4411453778158538
8.5	0.0008	0.105	319.0	0.9359999999999999	0.88	-0.88	0.8	-0.8	0.69	-0.69	0.23	-0.23	-0.03	0.03	0.09	-0.09	0.5	-0.5	1.3972830779766854
8.5	0.0013	0.065	319.0	0.8440000000000001	0.91	-0.91	0.83	-0.83	0.68	-0.68	0.23	-0.23	0.02	-0.02	0.25	-0.25	0.5	-0.5	1.4474805698177784
8.5	0.002	0.042	319.0	0.773	0.98	-0.98	1.32	-1.32	0.76	-0.76	0.19	-0.19	-0.02	0.02	0.14	-0.14	0.5	-0.5	1.8266088798645428
8.5	0.0032	0.026000000000000002	319.0	0.664	1.03	-1.03	1.33	-1.33	0.82	-0.82	0.17	-0.17	-0.22	0.22	0.27	-0.27	0.5	-0.5	1.9111253229445733
8.5	0.005	0.017	319.0	0.635	0.76	-0.76	1.25	-1.25	0.8	-0.8	0.25	-0.25	0.03	-0.03	0.37	-0.37	0.5	-0.5	1.7263835031649253
10.0	0.00013000000000000002	0.853	301.0	1.141	4.39	-4.39	1.41	-1.41	3.68	-3.68	1.21	-1.21	4.94	-4.94	0.71	-0.71	0.5	-0.5	7.821406523126131
10.0	0.0002	0.5539999999999999	301.0	1.248	2.1	-2.1	1.33	-1.33	1.34	-1.34	0.57	-0.57	1.54	-1.54	0.23	-0.23	0.5	-0.5	3.274736630631538
10.0	0.00032	0.309	319.0	1.153	1.9	-1.9	1.12	-1.12	0.84	-0.84	0.37	-0.37	0.28	-0.28	-0.03	0.03	0.5	-0.5	2.405452140450938
10.0	0.0005	0.198	319.0	1.069	1.77	-1.77	1.19	-1.19	0.76	-0.76	0.17	-0.17	-0.06	0.06	-0.22	0.22	0.5	-0.5	2.281994741448805
10.0	0.0008	0.124	319.0	0.983	1.83	-1.83	1.31	-1.31	0.73	-0.73	0.2	-0.2	-0.11	0.11	-0.09	0.09	0.5	-0.5	2.3786761023729146
10.0	0.0013	0.076	319.0	0.898	2.11	-2.11	1.21	-1.21	0.93	-0.93	-0.01	0.01	0.01	-0.01	-0.03	0.03	0.5	-0.5	2.6042657314490776
10.0	0.002	0.049	319.0	0.809	2.03	-2.03	1.77	-1.77	0.8	-0.8	0.23	-0.23	0.04	-0.04	0.39	-0.39	0.5	-0.5	2.8461201661208886
10.0	0.005	0.02	319.0	0.633	1.11	-1.11	0.77	-0.77	0.82	-0.82	0.19	-0.19	0.02	-0.02	0.47	-0.47	0.5	-0.5	1.659759018653009
12.0	0.000161	0.826	301.0	1.238	4.1	-4.1	3.78	-3.78	0.93	-0.93	0.34	-0.34	0.21	-0.21	0.04	-0.04	0.5	-0.5	5.6678567377801645
12.0	0.0002	0.665	301.0	1.2930000000000001	1.19	-1.19	1.34	-1.34	1.86	-1.86	0.8	-0.8	2.58	-2.58	0.35	-0.35	0.5	-0.5	3.7536915163609286
12.0	0.0002	0.593	319.0	1.314	1.21	-1.21	0.71	-0.71	2.41	-2.41	0.28	-0.28	2.59	-2.59	0.12	-0.12	0.5	-0.5	3.818009952841925
