	qsq2	cme	x	sig	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16	e17	e18	e19	e20
60	1.2	318.0	1.76e-05	0.5920000000000001	2.56	-2.56	2.16	-2.16	2.53	-2.53	0.31	-0.31	1.55	-1.55	0.01	-0.01	0.67	-0.67	-0.07	0.07	-0.01	0.01	0.03	-0.03
61	1.2	318.0	2e-05	0.667	2.63	-2.63	2.51	-2.51	1.36	-1.36	0.37	-0.37	0.49	-0.49	-0.41	0.41	0.47	-0.47	-0.02	0.02	0.01	-0.01	0.04	-0.04
62	1.2	318.0	3.2e-05	0.685	1.67	-1.67	2.73	-2.73	1.33	-1.33	0.44	-0.44	0.03	-0.03	-0.36	0.36	0.18	-0.18	-0.02	0.02	0.01	-0.01	0.05	-0.05
63	1.2	318.0	6.31e-05	0.649	1.39	-1.39	1.47	-1.47	1.43	-1.43	0.61	-0.61	-0.47	0.47	-0.33	0.33	0.26	-0.26	0.0	-0.0	0.0	-0.0	0.05	-0.05
64	1.2	318.0	8e-05	0.595	2.05	-2.05	1.36	-1.36	1.88	-1.88	0.61	-0.61	-0.38	0.38	-0.15	0.15	-0.47	0.47	0.0	-0.0	0.01	-0.01	0.06	-0.06
65	1.2	318.0	0.00013000000000000002	0.5429999999999999	2.43	-2.43	4.97	-4.97	1.61	-1.61	0.37	-0.37	-0.38	0.38	0.22	-0.22	-0.27	0.27	-0.01	0.01	0.01	-0.01	0.04	-0.04
66	1.2	318.0	0.00015800000000000002	0.5329999999999999	1.54	-1.54	1.35	-1.35	1.43	-1.43	0.68	-0.68	-0.55	0.55	-0.29	0.29	-0.96	0.96	-0.02	0.02	0.01	-0.01	0.07	-0.07
67	1.2	318.0	0.000398	0.493	2.12	-2.12	3.36	-3.36	1.38	-1.38	0.38	-0.38	-0.59	0.59	-0.44	0.44	0.77	-0.77	0.0	-0.0	0.01	-0.01	0.03	-0.03
68	1.2	318.0	0.0013	0.37200000000000005	3.55	-3.55	2.67	-2.67	1.41	-1.41	0.58	-0.58	-0.36	0.36	-0.14	0.14	-0.34	0.34	0.0	-0.0	0.02	-0.02	0.08	-0.08
69	1.2	318.0	0.005	0.298	4.51	-4.51	2.61	-2.61	1.55	-1.55	0.3	-0.3	-0.61	0.61	0.01	-0.01	-0.79	0.79	0.0	-0.0	0.01	-0.01	0.09	-0.09
