	qsq2	cme	x	sig	err
229	35.0	318.0	0.0013	1.222	0.74
230	35.0	318.0	0.002	1.099	0.74
231	35.0	318.0	0.0032	0.963	0.77
232	35.0	318.0	0.005	0.851	0.77
233	35.0	318.0	0.008	0.746	0.78
234	45.0	318.0	0.00059	1.4680000000000002	2.82
235	45.0	318.0	0.000634	1.4509999999999998	1.7
236	45.0	318.0	0.0007	1.485	2.05
237	45.0	318.0	0.0008	1.46	0.8
238	45.0	318.0	0.00092	1.388	1.22
239	45.0	318.0	0.0011	1.371	1.17
240	45.0	318.0	0.0013	1.294	0.74
241	45.0	318.0	0.002	1.152	0.73
242	45.0	318.0	0.0032	1.005	0.74
243	45.0	318.0	0.005	0.8959999999999999	0.76
244	45.0	318.0	0.008	0.78	0.76
245	0.045	300.0	6.21e-07	0.078	7.46
246	0.065	300.0	8.97e-07	0.109	7.4
247	0.065	300.0	1.02e-06	0.11	5.99
248	0.085	300.0	1.17e-06	0.133	6.3
249	0.085	300.0	1.34e-06	0.128	4.09
250	0.085	300.0	1.56e-06	0.125	4.79
251	0.11	300.0	1.51e-06	0.161	5.99
252	0.11	300.0	1.73e-06	0.162	3.28
253	0.11	300.0	2.02e-06	0.155	2.48
254	0.11	300.0	2.43e-06	0.14800000000000002	3.76
255	0.15	300.0	2.07e-06	0.22	4.59
256	0.15	300.0	2.36e-06	0.194	3.08
257	0.15	300.0	2.76e-06	0.197	2.28
258	0.15	300.0	3.31e-06	0.198	2.15
259	0.15	300.0	4.14e-06	0.18600000000000005	2.37
260	0.2	300.0	3.15e-06	0.243	2.99
261	0.2	300.0	3.68e-06	0.242	2.16
262	0.2	300.0	4.41e-06	0.236	2.03
263	0.2	300.0	5.52e-06	0.233	1.9
264	0.25	300.0	3.94e-06	0.27	4.11
265	0.25	300.0	4.6e-06	0.274	2.62
266	0.25	300.0	5.52e-06	0.278	1.93
267	0.25	300.0	6.900000000000002e-06	0.273	1.91
268	0.35	300.0	5.12e-06	0.332	3.43
269	0.35	300.0	6.1e-06	0.358	11.03
270	0.35	300.0	6.62e-06	0.327	2.07
271	0.35	300.0	8.28e-06	0.329	1.97
272	0.4	300.0	8.83e-06	0.34600000000000003	3.87
273	0.4	300.0	1.1e-05	0.3670000000000001	2.25
274	0.5	300.0	8.599999999999999e-06	0.441	9.17
275	0.65	300.0	1.12e-05	0.51	4.25
276	0.65	300.0	1.64e-05	0.507	7.28
277	0.85	300.0	1.3800000000000003e-05	0.614	9.45
278	0.85	300.0	2e-05	0.606	2.33
279	1.2	300.0	2e-05	0.74	8.36
280	1.2	300.0	3.2e-05	0.665	2.14
281	1.5	300.0	3.2e-05	0.8170000000000001	4.33
282	2.0	300.0	3.27e-05	0.856	2.65
283	2.0	300.0	5e-05	0.8540000000000001	1.64
284	2.7	300.0	4.09e-05	0.961	6.21
285	2.7	300.0	5e-05	0.8859999999999999	1.82
286	2.7	300.0	8e-05	0.905	3.27
287	3.5	300.0	5.73e-05	1.008	3.35
288	3.5	300.0	8e-05	0.98	1.21
289	4.5	300.0	8.18e-05	1.115	1.8
290	4.5	300.0	0.00013000000000000002	1.01	1.68
291	6.5	300.0	9.86e-05	1.165	2.79
292	6.5	300.0	0.00013000000000000002	1.1740000000000002	1.27
293	6.5	300.0	0.0002	1.111	1.41
294	8.5	300.0	0.000139	1.177	4.1
295	8.5	300.0	0.0002	1.212	1.07
296	10.0	300.0	0.00013000000000000002	1.149	4.37
297	10.0	300.0	0.0002	1.245	2.1
298	12.0	300.0	0.000161	1.226	4.12
299	12.0	300.0	0.0002	1.283	1.89
300	12.0	300.0	0.00032	1.225	1.51
301	15.0	300.0	0.0002	1.258	3.61
302	15.0	300.0	0.000246	1.36	1.52
303	15.0	300.0	0.00032	1.29	1.36
304	18.0	300.0	0.000268	1.318	3.67
305	18.0	300.0	0.000328	1.362	1.67
306	18.0	300.0	0.0005	1.266	1.01
307	22.0	300.0	0.0005	1.335	2.57
308	27.0	300.0	0.000335	1.389	4.11
309	27.0	300.0	0.00041	1.405	2.1
310	27.0	300.0	0.0005	1.4069999999999998	1.46
311	27.0	300.0	0.0008	1.286	2.46
312	35.0	300.0	0.0005740000000000001	1.507	2.01
313	35.0	300.0	0.0008	1.399	0.95
314	45.0	300.0	0.0008	1.486	1.81
315	45.0	300.0	0.0013	1.306	0.95
316	1.5	251.0	2.79e-05	0.7020000000000001	9.08
317	2.0	251.0	3.72e-05	0.7959999999999999	7.05
318	2.0	251.0	4.15e-05	0.68	7.33
319	2.5	251.0	4.650000000000001e-05	0.865	6.4
320	2.5	251.0	5.19e-05	0.852	3.81
321	2.5	251.0	5.8e-05	0.7709999999999999	4.97
322	3.5	251.0	6.51e-05	0.913	6.78
323	3.5	251.0	7.269999999999999e-05	0.894	3.47
324	3.5	251.0	8.120000000000001e-05	0.889	3.11
325	3.5	251.0	9.21e-05	0.944	3.35
326	3.5	251.0	0.000106	0.97	5.35
327	5.0	251.0	9.31e-05	0.887	7.35
328	5.0	251.0	0.000104	0.8959999999999999	3.49
329	5.0	251.0	0.000116	1.019	2.64
330	5.0	251.0	0.000132	0.965	2.54
331	5.0	251.0	0.000152	1.02	2.42
332	5.0	251.0	0.000201	0.949	2.57
333	6.5	251.0	0.000121	0.937	7.69
334	6.5	251.0	0.000135	1.005	3.22
335	6.5	251.0	0.000151	1.105	2.44
336	6.5	251.0	0.00016299999999999998	1.18	12.01
337	6.5	251.0	0.000171	1.057	2.32
338	6.5	251.0	0.000183	1.1840000000000002	13.94
339	6.5	251.0	0.000197	1.112	2.04
340	6.5	251.0	0.000228	1.138	9.66
341	6.5	251.0	0.000262	1.01	1.81
342	8.5	251.0	0.00015800000000000002	1.031	9.71
343	8.5	251.0	0.000177	1.058	3.18
344	8.5	251.0	0.000197	1.112	2.46
345	8.5	251.0	0.000224	1.154	2.11
346	8.5	251.0	0.00024	1.146	6.26
347	8.5	251.0	0.000258	1.041	2.02
348	8.5	251.0	0.000299	1.217	6.86
349	8.5	251.0	0.000342	1.091	1.76
350	8.5	251.0	0.000433	1.092	7.45
351	8.5	251.0	0.000541	1.022	1.8
352	8.5	251.0	0.0008380000000000001	0.946	1.85
353	8.5	251.0	0.00103	0.6779999999999999	13.65
354	8.5	251.0	0.0014	0.823	2.57
355	12.0	251.0	0.000223	1.293	6.55
356	12.0	251.0	0.00024900000000000004	1.148	2.95
357	12.0	251.0	0.000278	1.199	2.35
358	12.0	251.0	0.000295	1.176	3.77
359	12.0	251.0	0.00031600000000000004	1.193	2.54
360	12.0	251.0	0.000343	1.228	3.43
361	12.0	251.0	0.000364	1.176	2.12
362	12.0	251.0	0.000423	1.226	4.09
363	12.0	251.0	0.000483	1.124	1.71
364	12.0	251.0	0.000592	1.145	5.23
365	12.0	251.0	0.0007639999999999999	1.054	1.82
366	12.0	251.0	0.00091	0.965	6.78
367	12.0	251.0	0.00118	1.02	1.83
368	12.0	251.0	0.00146	0.828	7.17
369	12.0	251.0	0.00197	0.88	2.24
370	15.0	251.0	0.000279	1.147	6.2
371	15.0	251.0	0.000312	1.284	2.62
372	15.0	251.0	0.000348	1.187	2.4
373	15.0	251.0	0.000394	1.1740000000000002	2.19
374	15.0	251.0	0.000422	1.242	2.61
375	15.0	251.0	0.000455	1.259	2.33
376	15.0	251.0	0.000529	1.204	2.72
377	15.0	251.0	0.000604	1.168	1.46
378	15.0	251.0	0.000763	1.145	3.3
379	15.0	251.0	0.000955	1.042	1.82
380	15.0	251.0	0.00114	1.093	3.78
381	15.0	251.0	0.00148	0.976	1.83
382	15.0	251.0	0.00182	0.847	4.43
383	15.0	251.0	0.00247	0.861	2.16
384	20.0	251.0	0.000372	1.332	6.47
385	20.0	251.0	0.0004150000000000001	1.261	3.63
386	20.0	251.0	0.000464	1.294	3.04
387	20.0	251.0	0.000526	1.142	3.16
388	20.0	251.0	0.000607	1.226	2.57
389	20.0	251.0	0.000805	1.211	1.84
390	20.0	251.0	0.00127	1.091	1.84
391	20.0	251.0	0.00197	0.982	1.85
392	20.0	251.0	0.00329	0.858	2.38
393	25.0	251.0	0.000493	1.3	2.79
394	25.0	251.0	0.00057	1.33	3.15
395	25.0	251.0	0.000616	1.259	1.83
396	25.0	251.0	0.0007	1.325	2.27
397	25.0	251.0	0.000759	1.227	2.6
398	25.0	251.0	0.00088	1.248	2.16
399	25.0	251.0	0.00101	1.231	1.25
400	25.0	251.0	0.00127	1.12	2.0
401	25.0	251.0	0.00159	1.128	1.87
402	25.0	251.0	0.00184	1.042	2.2
403	25.0	251.0	0.00247	1.02	1.88
404	25.0	251.0	0.003	0.92	2.25
405	25.0	251.0	0.00411	0.892	2.64
406	35.0	251.0	0.000651	1.3219999999999998	7.0
407	35.0	251.0	0.000727	1.3019999999999998	3.89
408	35.0	251.0	0.0008119999999999999	1.327	2.57
409	35.0	251.0	0.000921	1.329	2.29
410	35.0	251.0	0.001	1.217	2.64
411	35.0	251.0	0.00106	1.319	2.72
412	35.0	251.0	0.00123	1.247	2.33
413	35.0	251.0	0.00141	1.241	1.3
414	35.0	251.0	0.0018	1.12	1.83
415	35.0	251.0	0.00223	1.111	1.89
416	35.0	251.0	0.0027	0.982	1.8
417	35.0	251.0	0.00345	0.964	1.91
418	35.0	251.0	0.0043	0.862	1.64
419	35.0	251.0	0.00575	0.861	2.99
420	45.0	251.0	0.0008380000000000001	1.432	5.99
421	45.0	251.0	0.000934	1.32	4.31
422	45.0	251.0	0.00104	1.349	3.41
423	45.0	251.0	0.00118	1.298	2.65
424	45.0	251.0	0.00127	1.286	2.87
425	45.0	251.0	0.00137	1.2919999999999998	3.08
426	45.0	251.0	0.00159	1.192	2.62
427	45.0	251.0	0.00181	1.178	1.39
428	45.0	251.0	0.00229	1.114	1.91
429	45.0	251.0	0.00286	1.103	1.9
430	45.0	251.0	0.0033	1.006	1.74
431	45.0	251.0	0.00444	0.94	1.92
432	45.0	251.0	0.0055	0.89	1.63
433	45.0	251.0	0.0074	0.828	3.14
434	1.5	225.0	3.48e-05	0.542	8.62
435	2.0	225.0	4.64e-05	0.733	6.25
436	2.0	225.0	5.260000000000001e-05	0.737	4.53
437	2.5	225.0	5.8e-05	0.815	7.28
438	2.5	225.0	6.579999999999999e-05	0.78	3.03
439	2.5	225.0	7.59e-05	0.725	4.28
440	3.5	225.0	8.120000000000001e-05	0.8190000000000001	5.9
441	3.5	225.0	9.21e-05	0.838	2.86
442	3.5	225.0	0.000106	0.875	2.47
443	3.5	225.0	0.00014099999999999998	0.81	2.53
444	5.0	225.0	0.000116	0.98	6.92
445	5.0	225.0	0.000132	0.94	2.8
446	5.0	225.0	0.000143	1.048	10.24
447	5.0	225.0	0.000152	0.984	2.2
448	5.0	225.0	0.000201	0.92	1.87
449	6.5	225.0	0.000151	1.07	6.52
450	6.5	225.0	0.000171	1.012	2.54
451	6.5	225.0	0.000183	1.043	7.36
452	6.5	225.0	0.000197	1.026	2.19
453	6.5	225.0	0.000228	1.067	7.39
454	6.5	225.0	0.000262	1.009	1.76
455	6.5	225.0	0.00033	0.99	9.32
456	6.5	225.0	0.000414	0.969	1.85
457	8.5	225.0	0.000197	1.011	7.94
458	8.5	225.0	0.000224	1.064	2.4
459	8.5	225.0	0.00024	1.195	3.88
460	8.5	225.0	0.000258	1.119	1.9
461	8.5	225.0	0.000299	1.188	4.2
462	8.5	225.0	0.000342	1.057	1.7
463	8.5	225.0	0.000433	1.151	5.71
464	8.5	225.0	0.000541	1.02	1.73
465	8.5	225.0	0.0008380000000000001	0.943	1.76
466	8.5	225.0	0.0014	0.8640000000000001	1.83
467	12.0	225.0	0.000278	1.162	5.29
468	12.0	225.0	0.00031600000000000004	1.178	2.2
469	12.0	225.0	0.000343	1.166	3.32
470	12.0	225.0	0.000364	1.127	1.86
471	12.0	225.0	0.000423	1.235	2.44
472	12.0	225.0	0.000483	1.12	1.52
473	12.0	225.0	0.000592	1.142	3.46
474	12.0	225.0	0.0007639999999999999	1.033	1.61
475	12.0	225.0	0.00118	0.979	1.69
476	12.0	225.0	0.00197	0.88	1.71
477	15.0	225.0	0.000348	1.243	4.06
478	15.0	225.0	0.000394	1.138	2.09
479	15.0	225.0	0.000422	1.1909999999999998	2.51
480	15.0	225.0	0.000455	1.1740000000000002	1.62
481	15.0	225.0	0.000529	1.254	1.89
482	15.0	225.0	0.000604	1.17	1.28
483	15.0	225.0	0.000763	1.168	2.14
484	15.0	225.0	0.000955	1.083	1.38
485	15.0	225.0	0.00148	0.943	1.52
486	20.0	225.0	0.000464	1.03	5.27
487	20.0	225.0	0.000526	1.214	2.87
488	20.0	225.0	0.000607	1.18	2.39
489	20.0	225.0	0.000805	1.171	1.85
490	20.0	225.0	0.00127	1.089	1.84
491	20.0	225.0	0.00197	0.986	1.85
492	20.0	225.0	0.00329	0.877	1.87
493	25.0	225.0	0.000616	1.211	2.94
494	25.0	225.0	0.000657	1.21	2.81
495	25.0	225.0	0.0007	1.251	2.42
496	25.0	225.0	0.000759	1.223	1.5
497	25.0	225.0	0.00088	1.237	1.68
498	25.0	225.0	0.00101	1.188	1.26
499	25.0	225.0	0.00127	1.146	1.52
500	25.0	225.0	0.00159	1.078	1.26
501	25.0	225.0	0.00247	0.989	1.28
502	25.0	225.0	0.00411	0.852	1.29
503	35.0	225.0	0.0008119999999999999	1.336	4.48
504	35.0	225.0	0.000921	1.21	2.44
505	35.0	225.0	0.001	1.3630000000000002	2.63
506	35.0	225.0	0.00106	1.237	1.7
507	35.0	225.0	0.00123	1.222	1.93
508	35.0	225.0	0.00141	1.219	1.23
509	35.0	225.0	0.0018	1.143	1.53
510	35.0	225.0	0.00223	1.0659999999999998	1.24
511	35.0	225.0	0.0031	0.984	1.59
512	35.0	225.0	0.00345	0.977	1.91
513	35.0	225.0	0.00575	0.833	1.31
514	45.0	225.0	0.00104	1.169	4.71
515	45.0	225.0	0.00118	1.205	2.98
516	45.0	225.0	0.00127	1.281	3.08
517	45.0	225.0	0.00137	1.243	2.09
518	45.0	225.0	0.00159	1.257	2.12
519	45.0	225.0	0.00181	1.158	1.21
520	45.0	225.0	0.00229	1.094	1.69
521	45.0	225.0	0.00286	1.085	1.21
522	45.0	225.0	0.00444	0.929	1.23
523	45.0	225.0	0.0074	0.802	1.26
