q2	x	y	redx	err
15.0	0.000246	0.6759999999999999	1.37	0.042881
15.0	0.00032	0.52	1.3	0.02899
15.0	0.00032	0.463	1.324	0.029128
15.0	0.0005	0.29600000000000004	1.217	0.013387
15.0	0.0008	0.185	1.115	0.011819
15.0	0.0013	0.114	0.988	0.0110656
15.0	0.002	0.07400000000000001	0.875	0.0102375
15.0	0.0032	0.046	0.789	0.009704700000000002
15.0	0.005	0.03	0.718	0.0081852
15.0	0.008	0.019	0.636	0.0073776000000000015
18.0	0.000268	0.745	1.332	0.0664668
18.0	0.000328	0.608	1.375	0.036025
18.0	0.0005	0.399	1.276	0.0246268
18.0	0.0005	0.35600000000000004	1.277	0.0181334
18.0	0.0008	0.222	1.168	0.0121472
18.0	0.0013	0.13699999999999998	1.052	0.0111512
18.0	0.002	0.08900000000000001	0.95	0.010355
18.0	0.0032	0.056	0.836	0.0093632
18.0	0.005	0.036000000000000004	0.75	0.00825
18.0	0.008	0.022	0.6679999999999999	0.0074816000000000014
22.0	0.0005	0.488	1.342	0.0475068
22.0	0.0008	0.272	1.269	0.031217400000000006
22.0	0.0013	0.16699999999999998	1.071	0.0300951
22.0	0.002	0.109	1.019	0.0307738
22.0	0.0032	0.068	0.906	0.0263646
22.0	0.005	0.043	0.774	0.0206658
22.0	0.008	0.027000000000000003	0.66	0.018414
27.0	0.000335	0.894	1.402	0.08061499999999999
27.0	0.00041	0.73	1.4169999999999998	0.0406679
27.0	0.0005	0.599	1.418	0.0323304
27.0	0.0005	0.534	1.42	0.027122000000000004
27.0	0.0008	0.374	1.296	0.036288
27.0	0.0008	0.333	1.298	0.0146674
27.0	0.0013	0.205	1.164	0.0125712
27.0	0.002	0.133	1.054	0.011488600000000002
27.0	0.0032	0.083	0.92	0.010396
27.0	0.005	0.053	0.8059999999999999	0.0091884
27.0	0.008	0.033	0.7120000000000001	0.008259200000000001
35.0	0.0005740000000000001	0.6759999999999999	1.521	0.0413712
35.0	0.0008	0.485	1.4069999999999998	0.0260295
35.0	0.0008	0.4320000000000001	1.395	0.020088
35.0	0.0013	0.266	1.234	0.0128336
35.0	0.002	0.173	1.108	0.0118556
35.0	0.0032	0.108	0.976	0.010736
35.0	0.005	0.069	0.857	0.0095127
35.0	0.008	0.043	0.7509999999999999	0.008561399999999999
45.0	0.0008	0.624	1.493	0.0468802
45.0	0.0008	0.556	1.4680000000000002	0.0280388
45.0	0.0013	0.384	1.317	0.0196233
45.0	0.0013	0.342	1.3159999999999998	0.0178976
45.0	0.002	0.222	1.163	0.0126767
45.0	0.0032	0.139	1.017	0.0110853
45.0	0.005	0.08900000000000001	0.903	0.0098427
45.0	0.008	0.056	0.785	0.008634999999999999
